frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1","Jul 14, 2025 09:49:14.634553000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   310; Unit:   1, Func:   3: Read Holding Registers"
"2","Jul 14, 2025 09:49:14.637388000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=1 Ack=1 Win=19915 Len=12"
"3","Jul 14, 2025 09:49:14.640300000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   310; Unit:   1, Func:   3: Read Holding Registers"
"4","Jul 14, 2025 09:49:14.642012000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=1 Ack=13 Win=502 Len=11"
"5","Jul 14, 2025 09:49:14.685717000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=13 Ack=12 Win=19904 Len=0"
"6","Jul 14, 2025 09:49:14.689284000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 5#1] 64279 → 502 [ACK] Seq=13 Ack=12 Win=19904 Len=0"
"7","Jul 14, 2025 09:49:14.806671000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   311; Unit:   1, Func:   1: Read Coils"
"8","Jul 14, 2025 09:49:14.808729000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=13 Ack=12 Win=19904 Len=12"
"9","Jul 14, 2025 09:49:14.813169000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   311; Unit:   1, Func:   1: Read Coils"
"10","Jul 14, 2025 09:49:14.815598000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=12 Ack=25 Win=502 Len=10"
"11","Jul 14, 2025 09:49:14.862606000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=25 Ack=22 Win=19894 Len=0"
"12","Jul 14, 2025 09:49:14.864088000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 11#1] 64279 → 502 [ACK] Seq=25 Ack=22 Win=19894 Len=0"
"13","Jul 14, 2025 09:49:14.976414000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   312; Unit:   1, Func:   4: Read Input Registers"
"14","Jul 14, 2025 09:49:14.979274000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=25 Ack=22 Win=19894 Len=12"
"15","Jul 14, 2025 09:49:14.982503000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   312; Unit:   1, Func:   4: Read Input Registers"
"16","Jul 14, 2025 09:49:14.985437000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=22 Ack=37 Win=502 Len=11"
"17","Jul 14, 2025 09:49:15.041854000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=37 Ack=33 Win=19883 Len=0"
"18","Jul 14, 2025 09:49:15.045077000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 17#1] 64279 → 502 [ACK] Seq=37 Ack=33 Win=19883 Len=0"
"19","Jul 14, 2025 09:49:15.156586000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   313; Unit:   1, Func:   3: Read Holding Registers"
"20","Jul 14, 2025 09:49:15.159559000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=37 Ack=33 Win=19883 Len=12"
"21","Jul 14, 2025 09:49:15.162490000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   313; Unit:   1, Func:   3: Read Holding Registers"
"22","Jul 14, 2025 09:49:15.163260000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=33 Ack=49 Win=502 Len=11"
"23","Jul 14, 2025 09:49:15.210212000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=49 Ack=44 Win=19872 Len=0"
"24","Jul 14, 2025 09:49:15.211410000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 23#1] 64279 → 502 [ACK] Seq=49 Ack=44 Win=19872 Len=0"
"25","Jul 14, 2025 09:49:15.329466000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   314; Unit:   1, Func:   1: Read Coils"
"26","Jul 14, 2025 09:49:15.332044000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=49 Ack=44 Win=19872 Len=12"
"27","Jul 14, 2025 09:49:15.335898000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   314; Unit:   1, Func:   1: Read Coils"
"28","Jul 14, 2025 09:49:15.337634000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=44 Ack=61 Win=502 Len=10"
"29","Jul 14, 2025 09:49:15.385045000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=61 Ack=54 Win=19862 Len=0"
"30","Jul 14, 2025 09:49:15.387569000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 29#1] 64279 → 502 [ACK] Seq=61 Ack=54 Win=19862 Len=0"
"31","Jul 14, 2025 09:49:15.412414000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0xaf2e A config.edge.skype.com"
"32","Jul 14, 2025 09:49:15.414755000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"33","Jul 14, 2025 09:49:15.502738000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   315; Unit:   1, Func:   4: Read Input Registers"
"34","Jul 14, 2025 09:49:15.505153000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=61 Ack=54 Win=19862 Len=12"
"35","Jul 14, 2025 09:49:15.507682000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   315; Unit:   1, Func:   4: Read Input Registers"
"36","Jul 14, 2025 09:49:15.508857000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=54 Ack=73 Win=502 Len=11"
"37","Jul 14, 2025 09:49:15.558815000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=73 Ack=65 Win=19851 Len=0"
"38","Jul 14, 2025 09:49:15.559964000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 37#1] 64279 → 502 [ACK] Seq=73 Ack=65 Win=19851 Len=0"
"39","Jul 14, 2025 09:49:15.677799000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   316; Unit:   1, Func:   3: Read Holding Registers"
"40","Jul 14, 2025 09:49:15.680310000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=73 Ack=65 Win=19851 Len=12"
"41","Jul 14, 2025 09:49:15.683097000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   316; Unit:   1, Func:   3: Read Holding Registers"
"42","Jul 14, 2025 09:49:15.685928000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=65 Ack=85 Win=502 Len=11"
"43","Jul 14, 2025 09:49:15.731147000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=85 Ack=76 Win=19840 Len=0"
"44","Jul 14, 2025 09:49:15.733597000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 43#1] 64279 → 502 [ACK] Seq=85 Ack=76 Win=19840 Len=0"
"45","Jul 14, 2025 09:49:15.850860000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   317; Unit:   1, Func:   1: Read Coils"
"46","Jul 14, 2025 09:49:15.852557000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=85 Ack=76 Win=19840 Len=12"
"47","Jul 14, 2025 09:49:15.857032000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   317; Unit:   1, Func:   1: Read Coils"
"48","Jul 14, 2025 09:49:15.859776000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=76 Ack=97 Win=502 Len=10"
"49","Jul 14, 2025 09:49:15.911989000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=97 Ack=86 Win=19830 Len=0"
"50","Jul 14, 2025 09:49:15.914105000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 49#1] 64279 → 502 [ACK] Seq=97 Ack=86 Win=19830 Len=0"
"51","Jul 14, 2025 09:49:16.027351000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   318; Unit:   1, Func:   4: Read Input Registers"
"52","Jul 14, 2025 09:49:16.031192000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=97 Ack=86 Win=19830 Len=12"
"53","Jul 14, 2025 09:49:16.034249000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   318; Unit:   1, Func:   4: Read Input Registers"
"54","Jul 14, 2025 09:49:16.036103000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=86 Ack=109 Win=502 Len=11"
"55","Jul 14, 2025 09:49:16.085994000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=109 Ack=97 Win=19819 Len=0"
"56","Jul 14, 2025 09:49:16.086598000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 55#1] 64279 → 502 [ACK] Seq=109 Ack=97 Win=19819 Len=0"
"57","Jul 14, 2025 09:49:16.208197000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   319; Unit:   1, Func:   3: Read Holding Registers"
"58","Jul 14, 2025 09:49:16.209836000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=109 Ack=97 Win=19819 Len=12"
"59","Jul 14, 2025 09:49:16.212348000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   319; Unit:   1, Func:   3: Read Holding Registers"
"60","Jul 14, 2025 09:49:16.213528000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=97 Ack=121 Win=502 Len=11"
"61","Jul 14, 2025 09:49:16.262008000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=121 Ack=108 Win=19808 Len=0"
"62","Jul 14, 2025 09:49:16.263279000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 61#1] 64279 → 502 [ACK] Seq=121 Ack=108 Win=19808 Len=0"
"63","Jul 14, 2025 09:49:16.331727000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0x731a A chrome.cloudflare-dns.com"
"64","Jul 14, 2025 09:49:16.332853000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"65","Jul 14, 2025 09:49:16.378509000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   320; Unit:   1, Func:   1: Read Coils"
"66","Jul 14, 2025 09:49:16.381382000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=121 Ack=108 Win=19808 Len=12"
"67","Jul 14, 2025 09:49:16.384408000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   320; Unit:   1, Func:   1: Read Coils"
"68","Jul 14, 2025 09:49:16.386533000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=108 Ack=133 Win=502 Len=10"
"69","Jul 14, 2025 09:49:16.435150000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=133 Ack=118 Win=19798 Len=0"
"70","Jul 14, 2025 09:49:16.437341000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 69#1] 64279 → 502 [ACK] Seq=133 Ack=118 Win=19798 Len=0"
"71","Jul 14, 2025 09:49:16.559374000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   321; Unit:   1, Func:   4: Read Input Registers"
"72","Jul 14, 2025 09:49:16.562156000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=133 Ack=118 Win=19798 Len=12"
"73","Jul 14, 2025 09:49:16.571042000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   321; Unit:   1, Func:   4: Read Input Registers"
"74","Jul 14, 2025 09:49:16.572513000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=118 Ack=145 Win=502 Len=11"
"75","Jul 14, 2025 09:49:16.590553000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0x9663 A chrome.cloudflare-dns.com"
"76","Jul 14, 2025 09:49:16.591938000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0xd25e HTTPS chrome.cloudflare-dns.com"
"77","Jul 14, 2025 09:49:16.592371000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"78","Jul 14, 2025 09:49:16.593316000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"79","Jul 14, 2025 09:49:16.616524000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=145 Ack=129 Win=19787 Len=0"
"80","Jul 14, 2025 09:49:16.618217000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 79#1] 64279 → 502 [ACK] Seq=145 Ack=129 Win=19787 Len=0"
"81","Jul 14, 2025 09:49:16.724337000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   322; Unit:   1, Func:   3: Read Holding Registers"
"82","Jul 14, 2025 09:49:16.725943000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=145 Ack=129 Win=19787 Len=12"
"83","Jul 14, 2025 09:49:16.728126000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   322; Unit:   1, Func:   3: Read Holding Registers"
"84","Jul 14, 2025 09:49:16.730562000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=129 Ack=157 Win=502 Len=11"
"85","Jul 14, 2025 09:49:16.781047000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=157 Ack=140 Win=19776 Len=0"
"86","Jul 14, 2025 09:49:16.782352000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 85#1] 64279 → 502 [ACK] Seq=157 Ack=140 Win=19776 Len=0"
"87","Jul 14, 2025 09:49:16.819151000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0x1bca A chrome.cloudflare-dns.com"
"88","Jul 14, 2025 09:49:16.820059000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"89","Jul 14, 2025 09:49:16.821515000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0xe52d HTTPS chrome.cloudflare-dns.com"
"90","Jul 14, 2025 09:49:16.824576000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"91","Jul 14, 2025 09:49:16.895635000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   323; Unit:   1, Func:   1: Read Coils"
"92","Jul 14, 2025 09:49:16.897423000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=157 Ack=140 Win=19776 Len=12"
"93","Jul 14, 2025 09:49:16.899316000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   323; Unit:   1, Func:   1: Read Coils"
"94","Jul 14, 2025 09:49:16.900756000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=140 Ack=169 Win=502 Len=10"
"95","Jul 14, 2025 09:49:16.955951000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=169 Ack=150 Win=19766 Len=0"
"96","Jul 14, 2025 09:49:16.959597000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 95#1] 64279 → 502 [ACK] Seq=169 Ack=150 Win=19766 Len=0"
"97","Jul 14, 2025 09:49:17.011379000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0x6d22 A chrome.cloudflare-dns.com"
"98","Jul 14, 2025 09:49:17.012116000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"99","Jul 14, 2025 09:49:17.013197000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","1.1.1.1",,,"DNS","Standard query 0x44d9 HTTPS chrome.cloudflare-dns.com"
"100","Jul 14, 2025 09:49:17.015437000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.20.1,10.10.20.30","10.10.20.30,1.1.1.1",,,"ICMP","Destination unreachable (Host unreachable)"
"101","Jul 14, 2025 09:49:17.074611000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   324; Unit:   1, Func:   4: Read Input Registers"
"102","Jul 14, 2025 09:49:17.077468000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=169 Ack=150 Win=19766 Len=12"
"103","Jul 14, 2025 09:49:17.078892000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   324; Unit:   1, Func:   4: Read Input Registers"
"104","Jul 14, 2025 09:49:17.080541000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=150 Ack=181 Win=502 Len=11"
"105","Jul 14, 2025 09:49:17.128605000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=181 Ack=161 Win=19755 Len=0"
"106","Jul 14, 2025 09:49:17.132085000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 105#1] 64279 → 502 [ACK] Seq=181 Ack=161 Win=19755 Len=0"
"107","Jul 14, 2025 09:49:17.258479000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   325; Unit:   1, Func:   3: Read Holding Registers"
"108","Jul 14, 2025 09:49:17.261643000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=181 Ack=161 Win=19755 Len=12"
"109","Jul 14, 2025 09:49:17.264690000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   325; Unit:   1, Func:   3: Read Holding Registers"
"110","Jul 14, 2025 09:49:17.266730000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=161 Ack=193 Win=502 Len=11"
"111","Jul 14, 2025 09:49:17.309700000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=193 Ack=172 Win=19744 Len=0"
