frame.number,frame.time,eth.src,eth.dst,eth.type,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,_ws.col.info
"1454","Jul 14, 2025 09:49:51.268007000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1453#1] 64279 → 502 [ACK] Seq=2557 Ack=2274 Win=19104 Len=0"
"1455","Jul 14, 2025 09:49:51.382201000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   267; Unit:   1, Func:   4: Read Input Registers"
"1456","Jul 14, 2025 09:49:51.385708000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2557 Ack=2274 Win=19104 Len=12"
"1457","Jul 14, 2025 09:49:51.390747000 EDT","08:00:27:df:f0:f9","08:00:27:6e:55:85","0x8100","10.10.10.10","10.10.20.30","502","64279","Modbus/TCP","Response: Trans:   267; Unit:   1, Func:   4: Read Input Registers"
"1458","Jul 14, 2025 09:49:51.393165000 EDT","08:00:27:6e:55:85","08:00:27:04:05:6f","0x8100","10.10.10.10","10.10.20.30","502","64279","TCP","[TCP Retransmission] 502 → 64279 [PSH, ACK] Seq=2274 Ack=2569 Win=502 Len=11"
"1459","Jul 14, 2025 09:49:51.439147000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","64279 → 502 [ACK] Seq=2569 Ack=2285 Win=19093 Len=0"
"1460","Jul 14, 2025 09:49:51.442870000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Dup ACK 1459#1] 64279 → 502 [ACK] Seq=2569 Ack=2285 Win=19093 Len=0"
"1461","Jul 14, 2025 09:49:51.469929000 EDT","08:00:27:11:68:b4","ff:ff:ff:ff:ff:ff","0x0800","0.0.0.0","255.255.255.255",,,"DHCP","DHCP Discover - Transaction ID 0x2c784a41"
"1462","Jul 14, 2025 09:49:51.556841000 EDT","08:00:27:04:05:6f","08:00:27:6e:55:85","0x8100","10.10.20.30","10.10.10.10","64279","502","Modbus/TCP","   Query: Trans:   268; Unit:   1, Func:   3: Read Holding Registers"
"1463","Jul 14, 2025 09:49:51.559497000 EDT","08:00:27:6e:55:85","08:00:27:df:f0:f9","0x8100","10.10.20.30","10.10.10.10","64279","502","TCP","[TCP Retransmission] 64279 → 502 [PSH, ACK] Seq=2569 Ack=2285 Win=19093 Len=12"
